envoy-1  | 2026-09-23T10:24:25.408443150Z [2026-09-23 10:24:25.408][1][info][main] [external/envoy/source/server/server.cc:534]   request header map: 664 bytes: :authority,:method,:path,:protocol,:scheme,accept,accept-encoding,access-control-request-headers,access-control-request-method,access-control-request-private-network,authentication,authorization,cache-control,cdn-loop,connection,content-encoding,content-length,content-type,expect,grpc-accept-encoding,grpc-timeout,if-match,if-modified-since,if-none-match,if-range,if-unmodified-since,keep-alive,origin,pragma,proxy-connection,proxy-status,referer,te,transfer-encoding,upgrade,user-agent,via,x-client-trace-id,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-downstream-service-cluster,x-envoy-downstream-service-node,x-envoy-expected-rq-timeout-ms,x-envoy-external-address,x-envoy-force-trace,x-envoy-hedge-on-per-try-timeout,x-envoy-internal,x-envoy-ip-tags,x-envoy-is-timeout-retry,x-envoy-max-retries,x-envoy-original-host,x-envoy-original-path,x-envoy-original-url,x-envoy-retriable-header-names,x-envoy-retriable-status-codes,x-envoy-retry-grpc-on,x-envoy-retry-on,x-envoy-upstream-alt-stat-name,x-envoy-upstream-rq-per-try-timeout-ms,x-envoy-upstream-rq-timeout-alt-response,x-envoy-upstream-rq-timeout-ms,x-envoy-upstream-stream-duration-ms,x-forwarded-client-cert,x-forwarded-for,x-forwarded-host,x-forwarded-port,x-forwarded-proto,x-request-id
envoy-1  | 2026-09-23T10:24:25.408454386Z [2026-09-23 10:24:25.408][1][info][main] [external/envoy/source/server/server.cc:534]   request trailer map: 120 bytes: 
envoy-1  | 2026-09-23T10:24:25.408471175Z [2026-09-23 10:24:25.408][1][info][main] [external/envoy/source/server/server.cc:534]   response header map: 432 bytes: :status,access-control-allow-credentials,access-control-allow-headers,access-control-allow-methods,access-control-allow-origin,access-control-allow-private-network,access-control-expose-headers,access-control-max-age,age,cache-control,connection,content-encoding,content-length,content-type,date,etag,expires,grpc-message,grpc-status,keep-alive,last-modified,location,proxy-connection,proxy-status,server,transfer-encoding,upgrade,vary,via,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-degraded,x-envoy-immediate-health-check-fail,x-envoy-ratelimited,x-envoy-upstream-canary,x-envoy-upstream-healthchecked-cluster,x-envoy-upstream-service-time,x-request-id
envoy-1  | 2026-09-23T10:24:25.408478326Z [2026-09-23 10:24:25.408][1][info][main] [external/envoy/source/server/server.cc:534]   response trailer map: 144 bytes: grpc-message,grpc-status
envoy-1  | 2026-09-23T10:24:25.418112632Z [2026-09-23 10:24:25.417][1][info][main] [external/envoy/source/server/server.cc:942] runtime: {}
envoy-1  | 2026-09-23T10:24:25.418258496Z [2026-09-23 10:24:25.418][1][info][main] [external/envoy/source/server/server.cc:774] Starting admin HTTP server at 0.0.0.0:9901
envoy-1  | 2026-09-23T10:24:25.418360262Z [2026-09-23 10:24:25.418][1][info][admin] [external/envoy/source/server/admin/admin.cc:65] admin address: 0.0.0.0:9901
envoy-1  | 2026-09-23T10:24:25.418498556Z [2026-09-23 10:24:25.418][1][info][config] [external/envoy/source/server/configuration_impl.cc:181] loading tracing configuration
envoy-1  | 2026-09-23T10:24:25.418513508Z [2026-09-23 10:24:25.418][1][info][config] [external/envoy/source/server/configuration_impl.cc:132] loading 0 static secret(s)
envoy-1  | 2026-09-23T10:24:25.418523592Z [2026-09-23 10:24:25.418][1][info][config] [external/envoy/source/server/configuration_impl.cc:138] loading 2 cluster(s)
envoy-1  | 2026-09-23T10:24:25.420843729Z [2026-09-23 10:24:25.420][1][info][config] [external/envoy/source/server/configuration_impl.cc:148] loading 1 listener(s)
envoy-1  | 2026-09-23T10:24:25.479244350Z [2026-09-23 10:24:25.479][1][debug][wasm] [external/envoy/source/extensions/common/wasm/wasm.cc:326] Base Wasm created 1 now active
