envoy-1  | 2026-09-23T10:19:32.872370954Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   network.connection.client: default, envoy_internal
envoy-1  | 2026-09-23T10:19:32.872377752Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
envoy-1  | 2026-09-23T10:19:32.872384332Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
envoy-1  | 2026-09-23T10:19:32.872391056Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.resolvers: envoy.ip
envoy-1  | 2026-09-23T10:19:32.872397729Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.connection_id_generator: envoy.quic.deterministic_connection_id_generator
envoy-1  | 2026-09-23T10:19:32.872405374Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.network.dns_resolver: envoy.network.dns_resolver.cares
envoy-1  | 2026-09-23T10:19:32.872412614Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_header_formatters: envoy.http.stateful_header_formatters.preserve_case, preserve_case
envoy-1  | 2026-09-23T10:19:32.872419872Z [2026-09-23 10:19:32.870][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers: envoy.access_loggers.file, envoy.access_loggers.http_grpc, envoy.access_loggers.open_telemetry, envoy.access_loggers.stderr, envoy.access_loggers.stdout, envoy.access_loggers.tcp_grpc, envoy.access_loggers.wasm, envoy.file_access_log, envoy.http_grpc_access_log, envoy.open_telemetry_access_log, envoy.stderr_access_log, envoy.stdout_access_log, envoy.tcp_grpc_access_log, envoy.wasm_access_log
envoy-1  | 2026-09-23T10:19:32.872428095Z [2026-09-23 10:19:32.871][1][info][main] [external/envoy/source/server/server.cc:471]   filter_state.object: envoy.filters.listener.original_dst.local_ip, envoy.filters.listener.original_dst.remote_ip, envoy.network.application_protocols, envoy.network.transport_socket.original_dst_address, envoy.network.upstream_server_name, envoy.network.upstream_subject_alt_names, envoy.ratelimit.hits_addend, envoy.router.debug_config, envoy.tcp_proxy.cluster, envoy.tcp_proxy.disable_tunneling, envoy.tcp_proxy.per_connection_idle_timeout_ms, envoy.upstream.dynamic_host, envoy.upstream.dynamic_port
envoy-1  | 2026-09-23T10:19:32.872449636Z [2026-09-23 10:19:32.871][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.retry_priorities: envoy.retry_priorities.previous_priorities
