envoy-1  | 2026-09-23T10:20:23.432947876Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_subscription: envoy.config_subscription.ads, envoy.config_subscription.ads_collection, envoy.config_subscription.aggregated_grpc_collection, envoy.config_subscription.delta_grpc, envoy.config_subscription.delta_grpc_collection, envoy.config_subscription.filesystem, envoy.config_subscription.filesystem_collection, envoy.config_subscription.grpc, envoy.config_subscription.rest
envoy-1  | 2026-09-23T10:20:23.432959627Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
envoy-1  | 2026-09-23T10:20:23.432969652Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.sip_proxy.filters: envoy.filters.sip.router
envoy-1  | 2026-09-23T10:20:23.432979472Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.transports: auto, framed, header, unframed
envoy-1  | 2026-09-23T10:20:23.432989456Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.listener: envoy.filters.listener.http_inspector, envoy.filters.listener.original_dst, envoy.filters.listener.original_src, envoy.filters.listener.proxy_protocol, envoy.filters.listener.tls_inspector, envoy.listener.http_inspector, envoy.listener.original_dst, envoy.listener.original_src, envoy.listener.proxy_protocol, envoy.listener.tls_inspector, istio.set_internal_dst_address
envoy-1  | 2026-09-23T10:20:23.433001676Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.load_balancing_policies: envoy.load_balancing_policies.least_request, envoy.load_balancing_policies.maglev, envoy.load_balancing_policies.override_host, envoy.load_balancing_policies.random, envoy.load_balancing_policies.ring_hash, envoy.load_balancing_policies.round_robin, envoy.load_balancing_policies.subset
envoy-1  | 2026-09-23T10:20:23.433012963Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
envoy-1  | 2026-09-23T10:20:23.433022820Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.srds_factory: envoy.srds_factory.default
envoy-1  | 2026-09-23T10:20:23.433032719Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.compression.compressor: envoy.compression.brotli.compressor, envoy.compression.gzip.compressor, envoy.compression.zstd.compressor
envoy-1  | 2026-09-23T10:20:23.433043099Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.grpc_credentials: envoy.grpc_credentials.default, envoy.grpc_credentials.file_based_metadata
envoy-1  | 2026-09-23T10:20:23.433053236Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.serializers: dubbo.hessian2
